Бренд/направление,Линейка/вкус,класс,Животный белок,Источник жиров,Источник углеводов,доп.компоненты,белки %,жиры %,клетчатка %,зола %,кальций %,фосфор %,коэф-т к/ф,натрий %,магний %,Омега-3,Омега-6,влажность %,углеводы %,калорийность,размер гранул,витаминная добавка,консер-т антиокс-д,примечания
ГОСТ,,,,,,,>25,>9,,,">0,4",,1к1-2к1,,,,,,,,,,,
Бренд/направление,Линейка/вкус,класс,Животный белок,Источник жиров,Источник углеводов,доп.компоненты,белки %,жиры %,клетчатка %,зола %,кальций %,фосфор %,коэф-т к/ф,натрий %,магний %,Омега-3,Омега-6,влажность %,углеводы %,калорийность,размер гранул,витаминная добавка,консер-т антиокс-д,примечания
Florida Turkey & Cranberries,с индейкой и клюквой,премиум,"Дегидрированное мясо индейки, гидролизованный белок индейки, яйца","жир индейки, масло лососевых пород, семя льна","рис, маис",,34,14,3,7,"1,1","0,9","1,222222222",,,,,7,35,3730,"8,9","стандартная, дозировка средняя",-,
Florida Salmon & Blueberry,с лососем и черникой,премиум,"Дегидрированное мясо океанической рыбы, дегидрированное мясо курицы, гидролизованный лосось, яйца ","куриный жир, масло лососевых пород, семя льна","рис, маис",,34,14,3,7,"1,1","0,9","1,222222222",,,,,7,35,3730,"8,9","стандартная, дозировка средняя",-,
Территория ,Кавказ Индейка с брусникой,супер-премиум,"дегидратированное мясо индейки, свежее мясо индейки, свежие печень и желудок индейки, гидролизат куриный, яйцо ","жир сельди, жир индейки","цельный ячмень, чечевица",,33,"11,2",3,6,"0,95","0,82","1,158536585",,"0,08",1,"1,5",9,"37,8",3684,7,"стандартная, дозировка средняя",экстракт розмарина,
Территория ,Крым Курица с черникой,супер-премиум,"дегидратированное мясо курицы, свежее мясо курицы, свежие куриные печень и желудок, яйцо, гидролизат куриный","жир сельди, жир индейки","цельный ячмень, чечевица",,33,"11,2",3,6,"0,95","0,82","1,158536585",,"0,08",1,"1,5",9,"37,8",3684,7,"стандартная, дозировка средняя",экстракт розмарина,
SIRIUS,УТКА И КЛЮКВА,премиум,"Дегидрированное мясо (курица 12%, индейка 10%), мясо утки 8%, гидролизованные мясные белки, кукурузный глютен","жир куриный, жир лососевый","кукуруза, пшеница",,30,12,"3,5","6,2","1,1","0,7","1,571428571",,,,,9,"39,3",3740,,"расширенная, средние",,
SIRIUS,ИНДЕЙКА И КУРИЦА,премиум,"Дегидрированное мясо (курица 18%, индейка 12%), гидролизованные мясные белки, кукурузный глютен","жир куриный, жир лососевый","кукуруза, пшеница",,30,12,"3,5","6,2","1,1","0,7","1,571428571",,,,,9,"39,3",3740,,"расширенная, средние",,
AlphaPet,Superpremium С уткой и индейкой,супер-премиум,"Свежее мясо 30% (утка, индейка, курица, свиные печень и сердце), Дегидрированное мясо птицы 19% (курица, индейка), Гидролизованная куриная печень","Животный жир, Рыбий жир","Рис 15%, Ячмень, Овес, Желтый горошек",,35,12,"2,5",8,1,"0,7","1,428571429",,"0,08","0,9",3,8,"34,5",3700,,"расширенная, средние",,
AlphaPet,Superpremium С ягненком и индейкой,супер-премиум,"Свежее мясо 30% (ягненок, индейка, курица), Дегидрированное мясо домашней птицы 19%, Гидролизованная куриная печень","Животный жир, Рыбий жир","Рис 15%, Ячмень, Овес, Желтый горошек",,35,12,"2,5",8,1,"0,7","1,428571429",,"0,08","0,9",3,8,"34,5",3700,,"расширенная, средние",,
AlphaPet,WOW С индейкой и потрошками,премиум,"свежее мясо 10% (индейка, свиные субпродукты), Дегидрированное мясо домашней птицы 32%, Гидролизованная куриная печень","Животный жир, Рыбий жир","Пшеница, Рис 15%, Желтый горошек",,31,11,3,8,1,"0,7","1,428571429",,"0,08","0,9",3,8,39,3560,,"расширенная, средние",,
AlphaPet,WOW С цыпленком,премиум,"свежее мясо 10% (цыпленок, свиные субпродукты), Дегидрированное мясо домашней птицы 32%, Гидролизованная куриная печень","Животный жир, Рыбий жир","Пшеница, Рис 15%, Желтый горошек",,31,9,3,8,1,"0,7","1,428571429",,"0,08","0,9",3,8,41,3500,,"расширенная, средние",,
1st Choice,Senior,супер-премиум,"свежая курица (17%), мука из мяса курицы (17%), гороховый протеин, сушеное яйцо, гидролизат куриной печени","куриный жир, цельное семя льна, жир лосося","рис, коричневый рис, специально обработанные ядра ячменя и овса",,27,15,3,8,1,"0,8","1,25",,"0,1",,,10,37,3534,,"расширенная, дозировки только у основных витаминов",,
1st Choice,Контроль веса,супер-премиум,"Свежая курица (16%), мука из мяса курицы (16%), гороховый протеин, гидролизат куриной печени","куриный жир, цельное семя льна","рис, коричневый рис, специально обработанные ядра ячменя и овса",,29,10,6,8,"1,2",1,"1,2",,"0,1",,,10,37,3178,,"расширенная, дозировки только у основных витаминов",,
1st Choice,Urinary,супер-премиум,"Свежее мясо курицы (14%), мука из мяса курицы (14%), кукурузный глютен, картофельный протеин","куриный жир, цельное семя льна","рис, чечевица, тапиока",,30,16,"3,5","6,5","0,8","0,7","1,142857143",,"0,07",,,10,34,3620,,"расширенная, дозировки только у основных витаминов",,
1st Choice,Sterilized,супер-премиум,"Мука из курицы, свежая курица,  рисовый белок, гидролизат печени","куриный жир, льняное семя","сладкий картофель, чечевица, тапиока",,33,9,4,10,"1,45","1,1","1,318181818",,"0,1",,,10,34,3540,,"расширенная, дозировки только у основных витаминов",,
1st Choice,Indoor Vitality,супер-премиум,"Свежая курица (17%), мука из мяса курицы (17%), гороховый протеин, сушеное яйцо, гидролизат куриной печени","куриный жир, льняное семя","рис, коричневый рис, специально обработанные ядра ячменя и овса",,28,18,3,8,"1,1","0,9","1,222222222",,"0,1",,,10,33,3685,,"расширенная, дозировки только у основных витаминов",,
